Symbol	Entrez	Name	Organism	HugoSymbol	Signature	logFC	adj.P.Val	CoreEnrichment
Fndc3b	72007	fibronectin type III domain containing 3B	mouse	FNDC3B	TIS up	1.432856	0.005114298	
Spag5	54141	sperm associated antigen 5	mouse	SPAG5	TIS down	-1.432409	0.00000001855699	
Hck	15162	hemopoietic cell kinase	mouse	HCK	TIS up	1.429814	0.008927746	
Ccdc18	73254	coiled-coil domain containing 18	mouse	CCDC18	TIS down	-1.428358	0.00000009280089	
Uhrf1	18140	ubiquitin-like, containing PHD and RING finger domains, 1	mouse	UHRF1	TIS down	-1.425175	0.00000001400301	
Melk	17279	maternal embryonic leucine zipper kinase	mouse	MELK	TIS down	-1.425141	0.00000003700125	
Slamf9	98365	SLAM family member 9	mouse	SLAMF9	TIS up	1.423867	0.000007168087	
Ifit3	15959	interferon-induced protein with tetratricopeptide repeats 3	mouse	IFIT3	TIS up	1.422814	0.00007672812	
Top2a	21973	topoisomerase (DNA) II alpha	mouse	TOP2A	TIS down	-1.422572	0.0000002282573	
Bora	77744	bora, aurora kinase A activator	mouse	BORA	TIS down	-1.42232	0.00000000002907053	
Prim1	19075	DNA primase, p49 subunit	mouse	PRIM1	TIS down	-1.420071	0.000000001402311	
Acss1	68738	acyl-CoA synthetase short-chain family member 1	mouse	ACSS1	TIS down	-1.419133	0.00009635953	
Fabp7	12140	fatty acid binding protein 7, brain	mouse	FABP7	TIS up	1.416446	0.00007901778	
Tspan17	74257	tetraspanin 17	mouse	TSPAN17	TIS up	1.41532	0.000001683894	
Ccdc34	68201	coiled-coil domain containing 34	mouse	CCDC34	TIS down	-1.413666	0.0000000005448763	
Csf1	12977	colony stimulating factor 1 (macrophage)	mouse	CSF1	TIS up	1.413606	0.00003843807	
Cenpw	66311	centromere protein W	mouse	CENPW	TIS down	-1.413278	0.00000000007299902	
Grem2	23893	gremlin 2, DAN family BMP antagonist	mouse	GREM2	TIS up	1.410334	0.00008728738	
Cyp51	13121	cytochrome P450, family 51	mouse	CYP51A1	TIS down	-1.410007	0.00007547673	
Tlr2	24088	toll-like receptor 2	mouse	TLR2	TIS up	1.407625	0.0004601058	
Mad2l1	56150	MAD2 mitotic arrest deficient-like 1	mouse	MAD2L1	TIS down	-1.40671	0.0000000001418453	
Cdca7	66953	cell division cycle associated 7	mouse	CDCA7	TIS down	-1.405062	0.0000000001336473	
Stard4	170459	StAR-related lipid transfer (START) domain containing 4	mouse	STARD4	TIS down	-1.404365	0.000001140711	
Atad5	237877	ATPase family, AAA domain containing 5	mouse	ATAD5	TIS down	-1.404318	0.000000001052181	
Cdk1	12534	cyclin-dependent kinase 1	mouse	CDK1	TIS down	-1.403327	0.00000000552059	
Lhfp	108927	lipoma HMGIC fusion partner	mouse	LHFPL6	TIS up	1.402938	0.003756321	
Vopp1	232023	vesicular, overexpressed in cancer, prosurvival protein 1	mouse	VOPP1	TIS up	1.402502	0.00001451814	
Aunip	69885	aurora kinase A and ninein interacting protein	mouse	AUNIP	TIS down	-1.402083	0.00000000369668	
Nrxn1	18189	neurexin I	mouse	NRXN1	TIS down	-1.40026	0.0007085721	
Arhgap24	231532	Rho GTPase activating protein 24	mouse	ARHGAP24	TIS up	1.400187	0.0003301926	
S100a4	20198	S100 calcium binding protein A4	mouse	S100A4	TIS up	1.399977	0.006455825	
Skp2	27401	S-phase kinase-associated protein 2 (p45)	mouse	SKP2	TIS down	-1.399642	0.000000003322327	
Vsir	74048	V-set immunoregulatory receptor	mouse	VSIR	TIS up	1.395153	0.000005915865	
Lrp11	237253	low density lipoprotein receptor-related protein 11	mouse	LRP11	TIS up	1.393798	0.00003112755	
Pld4	104759	phospholipase D family, member 4	mouse	PLD4	TIS up	1.393301	0.00000187093	
Mcub	66815	mitochondrial calcium uniporter dominant negative beta subunit	mouse	MCUB	TIS up	1.391894	0.007093688	
Rgs1	50778	regulator of G-protein signaling 1	mouse	RGS1	TIS up	1.38952	0.004094339	
Ctsb	13030	cathepsin B	mouse	CTSB	TIS up	1.38547	0.00006481145	
Mcm5	17218	minichromosome maintenance complex component 5	mouse	MCM5	TIS down	-1.384826	0.00000001258516	
Ndc80	67052	NDC80 kinetochore complex component	mouse	NDC80	TIS down	-1.384124	0.000000003166719	
Serpinb9b	20706	serine (or cysteine) peptidase inhibitor, clade B, member 9b	mouse		TIS up	1.383889	0.0003579289	
Cenps	69928	centromere protein S	mouse	CENPS	TIS down	-1.382794	0.000000009011522	
Acvr1	11477	activin A receptor, type 1	mouse	ACVR1	TIS up	1.381917	0.0007499857	
Cav2	12390	caveolin 2	mouse	CAV2	TIS up	1.381643	0.005361213	
Hirip3	233876	HIRA interacting protein 3	mouse	HIRIP3	TIS down	-1.381545	0.000000003114085	
Foxg1	15228	forkhead box G1	mouse	FOXG1	TIS up	1.381421	0.003073744	
Ablim1	226251	actin-binding LIM protein 1	mouse	ABLIM1	TIS down	-1.380623	0.00000007100244	
BC055324	381306	cDNA sequence BC055324	mouse	C1orf112	TIS down	-1.380221	0.0000000001861354	
Egr3	13655	early growth response 3	mouse	EGR3	TIS up	1.380117	0.008166077	
Serpinb6a	20719	serine (or cysteine) peptidase inhibitor, clade B, member 6a	mouse	SERPINB6	TIS up	1.379972	0.003311453	
App	11820	amyloid beta (A4) precursor protein	mouse	APP	TIS up	1.379759	0.001381161	
Rhob	11852	ras homolog family member B	mouse	RHOB	TIS up	1.37889	0.000000004023878	
Poc1a	70235	POC1 centriolar protein A	mouse	POC1A	TIS down	-1.378051	0.000000000001113108	
Aqp1	11826	aquaporin 1	mouse	AQP1	TIS up	1.377519	0.0008866326	
Rbp1	19659	retinol binding protein 1, cellular	mouse	RBP1	TIS up	1.37579	0.001266729	
P2rx4	18438	purinergic receptor P2X, ligand-gated ion channel 4	mouse	P2RX4	TIS up	1.375643	0.00000006656872	
Oaf	102644	out at first homolog	mouse	OAF	TIS up	1.374617	0.0003563683	
Itgal	16408	integrin alpha L	mouse	ITGAL	TIS up	1.374082	0.002113423	
Kif4	16571	kinesin family member 4	mouse	KIF4A	TIS down	-1.373264	0.000000001187665	
Parpbp	75317	PARP1 binding protein	mouse	PARPBP	TIS down	-1.370867	0.000000001956971	
Acta2	11475	actin, alpha 2, smooth muscle, aorta	mouse	ACTA2	TIS up	1.369439	0.00002412653	
Haus4	219072	HAUS augmin-like complex, subunit 4	mouse	HAUS4	TIS down	-1.36849	0.00000000006393613	
Col4a5	12830	collagen, type IV, alpha 5	mouse	COL4A5	TIS up	1.368005	0.002099344	
Col6a3	12835	collagen, type VI, alpha 3	mouse	COL6A3	TIS up	1.36036	0.0001901416	
Sell	20343	selectin, lymphocyte	mouse	SELL	TIS down	-1.359075	0.002759363	
Fam129b	227737	family with sequence similarity 129, member B	mouse	FAM129B	TIS up	1.357617	0.00009758158	
Traip	22036	TRAF-interacting protein	mouse	TRAIP	TIS down	-1.35697	0.000000004639523	
Hspb8	80888	heat shock protein 8	mouse	HSPB8	TIS up	1.356621	0.0001485818	
Idi1	319554	isopentenyl-diphosphate delta isomerase	mouse	IDI1	TIS down	-1.353599	0.0001420436	
Ska3	219114	spindle and kinetochore associated complex subunit 3	mouse	SKA3	TIS down	-1.353361	0.000000001520369	
Tacc3	21335	transforming, acidic coiled-coil containing protein 3	mouse	TACC3	TIS down	-1.353177	0.000000001436639	
Slc31a2	20530	solute carrier family 31, member 2	mouse	SLC31A2	TIS up	1.35212	0.00002169058	
Tnc	21923	tenascin C	mouse	TNC	TIS up	1.351468	0.0004879283	
Tlr13	279572	toll-like receptor 13	mouse		TIS up	1.347296	0.006034876	
Tgfbr3	21814	transforming growth factor, beta receptor III	mouse	TGFBR3	TIS up	1.346588	0.00110546	
Fbln5	23876	fibulin 5	mouse	FBLN5	TIS up	1.345996	0.0002364317	
Aspm	12316	abnormal spindle microtubule assembly	mouse	ASPM	TIS down	-1.344146	0.000001560088	
Ptgir	19222	prostaglandin I receptor (IP)	mouse	PTGIR	TIS up	1.342279	0.0004299185	
Sqor	59010	sulfide quinone oxidoreductase	mouse	SQOR	TIS up	1.341434	0.0009715652	
Ghr	14600	growth hormone receptor	mouse	GHR	TIS up	1.341301	0.0003301926	
E2f7	52679	E2F transcription factor 7	mouse	E2F7	TIS down	-1.3386	0.000001064935	
Sulf2	72043	sulfatase 2	mouse	SULF2	TIS up	1.337455	0.000003733353	
Fermt2	218952	fermitin family member 2	mouse	FERMT2	TIS up	1.334352	0.0007942287	
Atp6v0a1	11975	ATPase, H+ transporting, lysosomal V0 subunit A1	mouse	ATP6V0A1	TIS up	1.334249	0.0000000001599834	
Hmmr	15366	hyaluronan mediated motility receptor (RHAMM)	mouse	HMMR	TIS down	-1.332562	0.000000003810424	
Stx3	20908	syntaxin 3	mouse	STX3	TIS up	1.332112	0.00005743213	
Kntc1	208628	kinetochore associated 1	mouse	KNTC1	TIS down	-1.331775	0.0000001379834	
Ctsl	13039	cathepsin L	mouse	CTSV	TIS up	1.331638	0.004506544	
P2ry6	233571	pyrimidinergic receptor P2Y, G-protein coupled, 6	mouse	P2RY6	TIS up	1.330777	0.00946213	
Rad51	19361	RAD51 recombinase	mouse	RAD51	TIS down	-1.327722	0.0000001389465	
Rad54l	19366	RAD54 like (S. cerevisiae)	mouse	RAD54L	TIS down	-1.327005	0.0000000995418	
Ccr5	12774	chemokine (C-C motif) receptor 5	mouse	CCR5	TIS up	1.326796	0.001097247	
Gpx8	69590	glutathione peroxidase 8 (putative)	mouse	GPX8	TIS up	1.324686	0.0008672003	yes
Tpm2	22004	tropomyosin 2, beta	mouse	TPM2	TIS up	1.324272	0.0001027573	
Akap2	11641	A kinase (PRKA) anchor protein 2	mouse	AKAP2	TIS up	1.323254	0.0004697415	
Car13	71934	carbonic anhydrase 13	mouse	CA13	TIS up	1.322655	0.00135297	
Ccne2	12448	cyclin E2	mouse	CCNE2	TIS down	-1.322324	0.0000002119221	
Ptpre	19267	protein tyrosine phosphatase, receptor type, E	mouse	PTPRE	TIS up	1.322147	0.0002968561	
Lamb1	16777	laminin B1	mouse	LAMB1	TIS up	1.320769	0.001011075	
Cpne2	234577	copine II	mouse	CPNE2	TIS up	1.319236	0.000000002479785	
Gns	75612	glucosamine (N-acetyl)-6-sulfatase	mouse	GNS	TIS up	1.317393	0.00000002605295	
Depdc1b	218581	DEP domain containing 1B	mouse	DEPDC1B	TIS down	-1.317187	0.00000001353745	
Lgals3bp	19039	lectin, galactoside-binding, soluble, 3 binding protein	mouse	LGALS3BP	TIS up	1.31618	0.00005500409	
Dlgap5	218977	DLG associated protein 5	mouse	DLGAP5	TIS down	-1.310767	0.00000002348876	
Itpripl2	319622	inositol 1,4,5-triphosphate receptor interacting protein-like 2	mouse	ITPRIPL2	TIS up	1.309089	0.0008940399	
AU015263	101736	expressed sequence AU015263	mouse		TIS up	1.308494	0.00003621538	
Pebp1	23980	phosphatidylethanolamine binding protein 1	mouse	PEBP1	TIS down	-1.307816	0.000003391978	
Smc4	70099	structural maintenance of chromosomes 4	mouse	SMC4	TIS down	-1.307008	0.0000000007734684	
Cdca2	108912	cell division cycle associated 2	mouse	CDCA2	TIS down	-1.306235	0.000000007787089	
Gmnn	57441	geminin	mouse	GMNN	TIS down	-1.305765	0.0000000002204207	
Rhoc	11853	ras homolog family member C	mouse	RHOC	TIS up	1.304035	0.001688547	
Hmgb1	15289	high mobility group box 1	mouse	HMGB1	TIS down	-1.299816	0.00000000005005228	
Sirpb1a	320832	signal-regulatory protein beta 1A	mouse	SIRPB1	TIS up	1.299102	0.004013318	
Ube2t	67196	ubiquitin-conjugating enzyme E2T	mouse	UBE2T	TIS down	-1.298885	0.0000007294938	
Ugt1a9	394434	UDP glucuronosyltransferase 1 family, polypeptide A9	mouse	UGT1A10	TIS up	1.297312	0.005490502	
Brip1	237911	BRCA1 interacting protein C-terminal helicase 1	mouse	BRIP1	TIS down	-1.296678	0.00000005852366	
Sgpl1	20397	sphingosine phosphate lyase 1	mouse	SGPL1	TIS up	1.296311	0.0000002251914	yes
Slfn8	276950	schlafen 8	mouse	SLFN13	TIS up	1.295603	0.000008251664	
Atp11a	50770	ATPase, class VI, type 11A	mouse	ATP11A	TIS up	1.29429	0.0002629073	
Lrp1	16971	low density lipoprotein receptor-related protein 1	mouse	LRP1	TIS up	1.289157	0.0001746511	
Nqo1	18104	NAD(P)H dehydrogenase, quinone 1	mouse	NQO1	TIS up	1.288961	0.00003586052	
Tcim	69068	transcriptional and immune response regulator	mouse	TCIM	TIS up	1.285561	0.001783932	
Tmem45a	56277	transmembrane protein 45a	mouse	TMEM45A	TIS up	1.285413	0.00008503055	
Zyx	22793	zyxin	mouse	ZYX	TIS up	1.284994	0.0001603532	
Zfand2a	100494	zinc finger, AN1-type domain 2A	mouse	ZFAND2A	TIS up	1.2848	0.0000001325832	
Syce2	71846	synaptonemal complex central element protein 2	mouse	SYCE2	TIS down	-1.284479	0.004809547	
Mmp14	17387	matrix metallopeptidase 14 (membrane-inserted)	mouse	MMP14	TIS up	1.284068	0.00001286242	
Tmem107	66910	transmembrane protein 107	mouse	TMEM107	TIS down	-1.279226	0.0000000001661488	
Lmna	16905	lamin A	mouse	LMNA	TIS up	1.278949	0.001849705	
Ms4a4c	64380	membrane-spanning 4-domains, subfamily A, member 4C	mouse		TIS up	1.278941	0.001086142	
Hmgb3	15354	high mobility group box 3	mouse	HMGB3	TIS down	-1.278825	0.00000000001470229	
Soat1	20652	sterol O-acyltransferase 1	mouse	SOAT1	TIS up	1.278594	0.0002857869	
Ampd3	11717	adenosine monophosphate deaminase 3	mouse	AMPD3	TIS up	1.27715	0.001851178	
Kif18b	70218	kinesin family member 18B	mouse	KIF18B	TIS down	-1.275714	0.00000002496035	
BB182297	99463	expressed sequence BB182297	mouse		TIS down	-1.275423	0.000000000457361	
Rin2	74030	Ras and Rab interactor 2	mouse	RIN2	TIS up	1.2743	0.003382041	
Myo1f	17916	myosin IF	mouse	MYO1F	TIS up	1.274058	0.001659801	
Met	17295	met proto-oncogene	mouse	MET	TIS up	1.271381	0.0069922	
H2afx	15270	H2A histone family, member X	mouse	H2AFX	TIS down	-1.270976	0.00000005309919	
Ercc6l	236930	excision repair cross-complementing rodent repair deficiency complementation group 6 like	mouse	ERCC6L	TIS down	-1.269631	0.00000004927527	
Traf1	22029	TNF receptor-associated factor 1	mouse	TRAF1	TIS up	1.268891	0.00001942554	
Tdrd7	100121	tudor domain containing 7	mouse	TDRD7	TIS up	1.268314	0.00001483046	
Cenph	26886	centromere protein H	mouse	CENPH	TIS down	-1.265879	0.000000003630617	
Pkd2	18764	polycystic kidney disease 2	mouse	PKD2	TIS up	1.26579	0.0001414914	
Acsl3	74205	acyl-CoA synthetase long-chain family member 3	mouse	ACSL3	TIS down	-1.26513	0.0000001855111	
Plk2	20620	polo like kinase 2	mouse	PLK2	TIS up	1.264956	0.0002157163	
Rad51b	19363	RAD51 paralog B	mouse	RAD51B	TIS down	-1.264914	0.00000003181642	
Thy1	21838	thymus cell antigen 1, theta	mouse	THY1	TIS up	1.263931	0.000341501	
Rrm2	20135	ribonucleotide reductase M2	mouse	RRM2	TIS down	-1.263886	0.000001174416	
Egr2	13654	early growth response 2	mouse	EGR2	TIS up	1.261512	0.007846995	
Cyth4	72318	cytohesin 4	mouse	CYTH4	TIS up	1.25778	0.000142733	
Sgk1	20393	serum/glucocorticoid regulated kinase 1	mouse	SGK1	TIS up	1.254762	0.000222594	yes
Plxna1	18844	plexin A1	mouse	PLXNA1	TIS up	1.253981	0.00000008096238	
Cdc45	12544	cell division cycle 45	mouse	CDC45	TIS down	-1.251852	0.00000001870313	
Cybb	13058	cytochrome b-245, beta polypeptide	mouse	CYBB	TIS up	1.250564	0.001378731	
Mcm8	66634	minichromosome maintenance 8 homologous recombination repair factor	mouse	MCM8	TIS down	-1.25054	0.000000000751384	
Slc11a1	18173	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	mouse	SLC11A1	TIS up	1.249205	0.007402163	
Rab34	19376	RAB34, member RAS oncogene family	mouse	RAB34	TIS up	1.246544	0.0008058817	
Pdpn	14726	podoplanin	mouse	PDPN	TIS up	1.245599	0.000387454	
Prc1	233406	protein regulator of cytokinesis 1	mouse	PRC1	TIS down	-1.245376	0.0000003129022	
Fdps	110196	farnesyl diphosphate synthetase	mouse	FDPS	TIS down	-1.244795	0.00001723257	
Pltp	18830	phospholipid transfer protein	mouse	PLTP	TIS up	1.238653	0.005914022	
Celf5	319586	CUGBP, Elav-like family member 5	mouse	CELF5	TIS up	1.238449	0.0000105945	
Slc15a3	65221	solute carrier family 15, member 3	mouse	SLC15A3	TIS up	1.238243	0.0001312353	
Neil3	234258	nei like 3 (E. coli)	mouse	NEIL3	TIS down	-1.237162	0.000008623989	
Rnf11	29864	ring finger protein 11	mouse	RNF11	TIS up	1.236978	0.0000004382678	
Aebp1	11568	AE binding protein 1	mouse	AEBP1	TIS up	1.236654	0.00002698594	
Znfx1	98999	zinc finger, NFX1-type containing 1	mouse	ZNFX1	TIS up	1.236062	0.000000676341	
C1s1	50908	complement component 1, s subcomponent 1	mouse		TIS up	1.235976	0.001040377	
Dusp1	19252	dual specificity phosphatase 1	mouse	DUSP1	TIS up	1.232951	0.0002818695	
Rad51ap1	19362	RAD51 associated protein 1	mouse	RAD51AP1	TIS down	-1.232147	0.000000001436639	
Metrnl	210029	meteorin, glial cell differentiation regulator-like	mouse	METRNL	TIS up	1.232146	0.002741263	
Cep128	75216	centrosomal protein 128	mouse	CEP128	TIS down	-1.230879	0.000000008457667	
Dna2	327762	DNA replication helicase/nuclease 2	mouse	DNA2	TIS down	-1.230272	0.0000005030751	
Pik3r3	18710	phosphoinositide-3-kinase regulatory subunit 3	mouse	PIK3R3	TIS up	1.230215	0.0001851714	
Spc25	66442	SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)	mouse	SPC25	TIS down	-1.229809	0.0000003093196	
Klf4	16600	Kruppel-like factor 4 (gut)	mouse	KLF4	TIS up	1.22897	0.0006055741	
Rab31	106572	RAB31, member RAS oncogene family	mouse	RAB31	TIS up	1.227045	0.00003664511	
Zwilch	68014	zwilch kinetochore protein	mouse	ZWILCH	TIS down	-1.225148	0.0000007258829	
Ikbke	56489	inhibitor of kappaB kinase epsilon	mouse	IKBKE	TIS up	1.223919	0.0004309633	
Fkbp10	14230	FK506 binding protein 10	mouse	FKBP10	TIS up	1.223248	0.00002500806	yes
H2-T23	15040	histocompatibility 2, T region locus 23	mouse	HLA-E	TIS down	-1.222317	0.0002975688	
Lurap1l	52829	leucine rich adaptor protein 1-like	mouse	LURAP1L	TIS up	1.221639	0.0004553393	
Nrp1	18186	neuropilin 1	mouse	NRP1	TIS up	1.220812	0.003173638	
Ckap2l	70466	cytoskeleton associated protein 2-like	mouse	CKAP2L	TIS down	-1.220689	0.0000005879831	
Mbnl3	171170	muscleblind like splicing factor 3	mouse	MBNL3	TIS down	-1.219237	0.0000008919145	
Sept8	20362	septin 8	mouse	SEPT8	TIS up	1.219195	0.000365791	
Antxr2	71914	anthrax toxin receptor 2	mouse	ANTXR2	TIS up	1.217764	0.00840865	
Plekho2	102595	pleckstrin homology domain containing, family O member 2	mouse	PLEKHO2	TIS up	1.217557	0.00000005989336	
Apobec2	11811	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 2	mouse	APOBEC2	TIS down	-1.217543	0.009620499	
Hells	15201	helicase, lymphoid specific	mouse	HELLS	TIS down	-1.216022	0.0000005894846	
Nsl1	381318	NSL1, MIS12 kinetochore complex component	mouse	NSL1	TIS down	-1.215063	0.000001043976	
Mms22l	212377	MMS22-like, DNA repair protein	mouse	MMS22L	TIS down	-1.213784	0.000000001718688	
Trp53inp2	68728	transformation related protein 53 inducible nuclear protein 2	mouse	TP53INP2	TIS up	1.213667	0.000007081504	
Cbr2	12409	carbonyl reductase 2	mouse		TIS up	1.212185	0.000351411	
Asf1b	66929	anti-silencing function 1B histone chaperone	mouse	ASF1B	TIS down	-1.212094	0.00000002236202	
Specc1	432572	sperm antigen with calponin homology and coiled-coil domains 1	mouse	SPECC1	TIS up	1.211471	0.003958741	
Zbp1	58203	Z-DNA binding protein 1	mouse	ZBP1	TIS up	1.211269	0.00003423852	
Pold2	18972	polymerase (DNA directed), delta 2, regulatory subunit	mouse	POLD2	TIS down	-1.21115	0.000000000009565288	
Endou	19011	endonuclease, polyU-specific	mouse	ENDOU	TIS down	-1.210484	0.005825824	
Elovl6	170439	ELOVL family member 6, elongation of long chain fatty acids (yeast)	mouse	ELOVL6	TIS down	-1.209911	0.0001075953	
Ticrr	77011	TOPBP1-interacting checkpoint and replication regulator	mouse	TICRR	TIS down	-1.209391	0.00000002450416	
Blm	12144	Bloom syndrome, RecQ like helicase	mouse	BLM	TIS down	-1.205754	0.0000000007227767	
Lif	16878	leukemia inhibitory factor	mouse	LIF	TIS up	1.204413	0.0004766363	
Rrm1	20133	ribonucleotide reductase M1	mouse	RRM1	TIS down	-1.20389	0.0000000002365121	
Id1	15901	inhibitor of DNA binding 1	mouse	ID1	TIS up	1.203533	0.001347816	
Gstm1	14862	glutathione S-transferase, mu 1	mouse	GSTM5	TIS up	1.202611	0.0001853536	
Aoah	27052	acyloxyacyl hydrolase	mouse	AOAH	TIS up	1.201975	0.002425917	
Wdhd1	218973	WD repeat and HMG-box DNA binding protein 1	mouse	WDHD1	TIS down	-1.201139	0.00000001902591	
Tmem86a	67893	transmembrane protein 86A	mouse	TMEM86A	TIS up	1.200167	0.000003072143	
Bach2	12014	BTB and CNC homology, basic leucine zipper transcription factor 2	mouse	BACH2	TIS down	-1.199821	0.002293262	
Ndrg4	234593	N-myc downstream regulated gene 4	mouse	NDRG4	TIS up	1.199399	0.00001926597	
Hmox1	15368	heme oxygenase 1	mouse	HMOX1	TIS up	1.198349	0.005840358	
Dpp7	83768	dipeptidylpeptidase 7	mouse	DPP7	TIS up	1.196581	0.0001131392	
Anln	68743	anillin, actin binding protein	mouse	ANLN	TIS down	-1.195862	0.00008013527	
Ccnb1	268697	cyclin B1	mouse	CCNB1	TIS down	-1.195318	0.0000000008255247	
Scd1	20249	stearoyl-Coenzyme A desaturase 1	mouse	SCD	TIS down	-1.193595	0.0007749524	
Oip5	70645	Opa interacting protein 5	mouse	OIP5	TIS down	-1.193155	0.00000001189386	
Selenoh	72657	selenoprotein H	mouse	SELENOH	TIS down	-1.192949	0.0000000000005443945	
Pcdh7	54216	protocadherin 7	mouse	PCDH7	TIS up	1.19231	0.00008930359	
4930402H24Rik	228602	RIKEN cDNA 4930402H24 gene	mouse	C20orf194	TIS up	1.191684	0.000001406509	
Srxn1	76650	sulfiredoxin 1 homolog (S. cerevisiae)	mouse	SRXN1	TIS up	1.191412	0.00008078746	
Gas1	14451	growth arrest specific 1	mouse	GAS1	TIS up	1.191131	0.0002036807	yes
Chil1	12654	chitinase-like 1	mouse	CHI3L1	TIS up	1.191122	0.0001007194	
Steap2	74051	six transmembrane epithelial antigen of prostate 2	mouse	STEAP2	TIS up	1.189999	0.005559591	
Tipin	66131	timeless interacting protein	mouse	TIPIN	TIS down	-1.188419	0.0000000001661488	
Rnd3	74194	Rho family GTPase 3	mouse	RND3	TIS up	1.187837	0.000651533	
Arhgef39	230098	Rho guanine nucleotide exchange factor (GEF) 39	mouse	ARHGEF39	TIS down	-1.187759	0.000002856966	
Mcm10	70024	minichromosome maintenance 10 replication initiation factor	mouse	MCM10	TIS down	-1.187567	0.00000001561014	
Ccnf	12449	cyclin F	mouse	CCNF	TIS down	-1.187012	0.0000001540597	
Sez6l2	233878	seizure related 6 homolog like 2	mouse	SEZ6L2	TIS up	1.186756	0.0002155669	
Degs1	13244	delta(4)-desaturase, sphingolipid 1	mouse	DEGS1	TIS up	1.186232	0.00000003957383	
Chchd10	103172	coiled-coil-helix-coiled-coil-helix domain containing 10	mouse	CHCHD10	TIS down	-1.185517	0.0000006593415	
Sdc2	15529	syndecan 2	mouse	SDC2	TIS up	1.183525	0.0001851362	yes
Irf7	54123	interferon regulatory factor 7	mouse	IRF7	TIS up	1.181634	0.0004246177	
Palld	72333	palladin, cytoskeletal associated protein	mouse	PALLD	TIS up	1.181617	0.0009036215	
Slc37a2	56857	solute carrier family 37 (glycerol-3-phosphate transporter), member 2	mouse	SLC37A2	TIS up	1.180156	0.000003614634	
Bambi	68010	BMP and activin membrane-bound inhibitor	mouse	BAMBI	TIS down	-1.178969	0.00001235113	
Eef1a1	13627	eukaryotic translation elongation factor 1 alpha 1	mouse	EEF1A1	TIS down	-1.178284	0.000000003327847	
Cstb	13014	cystatin B	mouse	CSTB	TIS up	1.177716	0.000001254589	
Cdh2	12558	cadherin 2	mouse	CDH2	TIS up	1.177326	0.0004618649	yes
Csf2ra	12982	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)	mouse	CSF2RA	TIS up	1.176413	0.0001795209	
Pdk4	27273	pyruvate dehydrogenase kinase, isoenzyme 4	mouse	PDK4	TIS up	1.175689	0.00005357206	
Gpr35	64095	G protein-coupled receptor 35	mouse	GPR35	TIS up	1.175304	0.0000004740573	
Scyl3	240880	SCY1-like 3 (S. cerevisiae)	mouse	SCYL3	TIS down	-1.174477	0.00000003298358	
Cyb5r3	109754	cytochrome b5 reductase 3	mouse	CYB5R3	TIS up	1.173103	0.000003146958	
Ankrd1	107765	ankyrin repeat domain 1 (cardiac muscle)	mouse	ANKRD1	TIS up	1.171524	0.0008672003	
Optn	71648	optineurin	mouse	OPTN	TIS up	1.171213	0.00196424	
Atf3	11910	activating transcription factor 3	mouse	ATF3	TIS up	1.169397	0.0003269755	
Cd274	60533	CD274 antigen	mouse	CD274	TIS up	1.169278	0.00002556756	yes
Lpar1	14745	lysophosphatidic acid receptor 1	mouse	LPAR1	TIS up	1.168682	0.0002016286	
Gsto2	68214	glutathione S-transferase omega 2	mouse	GSTO2	TIS up	1.166184	0.00007246241	
Ung	22256	uracil DNA glycosylase	mouse	UNG	TIS down	-1.165688	0.0000007907018	
Pilrb1	170741	paired immunoglobin-like type 2 receptor beta 1	mouse	PILRB	TIS up	1.165558	0.0005100808	
Wdr76	241627	WD repeat domain 76	mouse	WDR76	TIS down	-1.164765	0.000000001436639	
Msh2	17685	mutS homolog 2	mouse	MSH2	TIS down	-1.164537	0.0000000006181569	
Apbb2	11787	amyloid beta (A4) precursor protein-binding, family B, member 2	mouse	APBB2	TIS up	1.164396	0.0005143159	
Mgst1	56615	microsomal glutathione S-transferase 1	mouse	MGST1	TIS up	1.163641	0.004422065	
Rnf26	213211	ring finger protein 26	mouse	RNF26	TIS down	-1.163598	0.00000000001470229	
Cpeb4	67579	cytoplasmic polyadenylation element binding protein 4	mouse	CPEB4	TIS up	1.163454	0.0000047135	
Rab7b	226421	RAB7B, member RAS oncogene family	mouse	RAB7B	TIS up	1.163065	0.003319881	
Mdm2	17246	transformed mouse 3T3 cell double minute 2	mouse	MDM2	TIS up	1.162584	0.0000002360248	
Cdc25b	12531	cell division cycle 25B	mouse	CDC25B	TIS down	-1.161691	0.00006211749	
Meg3	17263	maternally expressed 3	mouse	MEG3	TIS up	1.16041	0.001265332	
Cenpf	108000	centromere protein F	mouse	CENPF	TIS down	-1.157066	0.000003735268	
Dsn1	66934	DSN1 homolog, MIS12 kinetochore complex component	mouse	DSN1	TIS down	-1.155171	0.0000006905606	
Tcf19	106795	transcription factor 19	mouse	TCF19	TIS down	-1.154821	0.000008033232	
Lbr	98386	lamin B receptor	mouse	LBR	TIS down	-1.15405	0.00000002823401	
Mns1	17427	meiosis-specific nuclear structural protein 1	mouse	MNS1	TIS down	-1.151153	0.00000006723634	
Slc6a8	102857	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	mouse	SLC6A8	TIS up	1.146791	0.00003263104	
