	Symbol	Entrez	Description	Signature	SignatureID	Name	Ensembl	Genbank	Unigene	MetaSignature	Key	References	PubmedID	SelectionCriteria	Organism	HugoSymbol	Source	Database	taxid	ProbeID	logFC	P.Value	adj.P.Val	AveExpr	t	HomoloGeneRelease	ID	Function	EnsemblID	UnigeneID	GenbankID	Notes	NamePaper	FoldChange
376675	CSE1L	1434	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	chromosome segregation 1 like	ENSG00000124207	AAC35007	Hs.90073	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	CSE1L	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376676	PAICS	10606	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase	ENSG00000128050	AA669362	Hs.518774	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	PAICS	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376677	STAG1	10274	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	stromal antigen 1	ENSG00000118007	AAH17735	Hs.412586	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	STAG1	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376678	LUC7L3	51747	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	LUC7 like 3 pre-mRNA splicing factor	ENSG00000108848	AAC79807	Hs.130293	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	LUC7L3	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376679	PPM1D	8493	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	protein phosphatase, Mg2+/Mn2+ dependent 1D	ENSG00000170836	AA326266	Hs.286073	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	PPM1D	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376680	NME1	4830	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	NME/NM23 nucleoside diphosphate kinase 1	ENSG00000239672	AAH00293	Hs.463456	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	NME1	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376681	SRSF2	6427	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	serine and arginine rich splicing factor 2	ENSG00000161547	AAA60162	Hs.584801	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	SRSF2	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376682	XPO1	7514	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	exportin 1	ENSG00000082898	AAH32847	Hs.370770	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	XPO1	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376683	HNRNPD	3184	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	heterogeneous nuclear ribonucleoprotein D	ENSG00000138668	AAA35781	Hs.480073	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	HNRNPD	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376684	PMS2	5395	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	PMS1 homolog 2, mismatch repair system component	ENSG00000122512	AAA50390	Hs.632637	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	PMS2	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376685	ASF1A	25842	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	anti-silencing function 1A histone chaperone	ENSG00000111875	AA481056	Hs.292316	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	ASF1A	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376686	EXOSC8	11340	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	exosome component 8	ENSG00000120699	AAC39558	Hs.294041	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	EXOSC8	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376687	MLH1	4292	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	mutL homolog 1	ENSG00000076242	AAA17374	Hs.195364	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	MLH1	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376688	NUP107	57122	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	nucleoporin 107	ENSG00000111581	AAH17167	Hs.524574	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	NUP107	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376689	ORC2	4999	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	origin recognition complex subunit 2	ENSG00000115942	AAB33970	Hs.444870	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	ORC2	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376690	TP53	7157	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	tumor protein p53	ENSG00000141510	AAA59988	Hs.437460	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	TP53	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376691	TFRC	7037	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	transferrin receptor	ENSG00000072274	AAA61153	Hs.529618	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	TFRC	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376692	HMGA1	3159	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	high mobility group AT-hook 1	ENSG00000137309	AAA35998	Hs.518805	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	HMGA1	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376693	PSIP1	11168	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	PC4 and SFRS1 interacting protein 1	ENSG00000164985	AAB52589	Hs.658434	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	PSIP1	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376694	DDX39A	10212	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	DExD-box helicase 39A	ENSG00000123136	AAB50231	Hs.311609	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	DDX39A	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376695	SNRPB	6628	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	small nuclear ribonucleoprotein polypeptides B and B1	ENSG00000125835	AAA36578	Hs.83753	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	SNRPB	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376696	CDKN1B	1027	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	cyclin dependent kinase inhibitor 1B	ENSG00000111276	AA833962	Hs.238990	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	CDKN1B	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376697	MTHFD2	10797	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	ENSG00000065911	AAH01548	Hs.469030	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	MTHFD2	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376698	WEE1	7465	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	WEE1 G2 checkpoint kinase	ENSG00000166483	AAB60401	Hs.249441	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	WEE1	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376699	PRDX4	10549	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	peroxiredoxin 4	ENSG00000123131	AAB95175	Hs.83383	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	PRDX4	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376700	PHF5A	84844	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	PHD finger protein 5A	ENSG00000100410	AAH07321	Hs.474980	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	PHF5A	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376701	TBRG4	9238	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	transforming growth factor beta regulator 4	ENSG00000136270	AAB69312	Hs.231411	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	TBRG4	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376702	SHMT1	6470	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	serine hydroxymethyltransferase 1	ENSG00000176974	AAA36018	Hs.513987	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	SHMT1	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376703	PRPS1	5631	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	phosphoribosyl pyrophosphate synthetase 1	ENSG00000147224	AAD05560	Hs.56	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	PRPS1	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376704	DIAPH3	81624	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	diaphanous related formin 3	ENSG00000139734	AAH34952	Hs.283127	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	DIAPH3	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376705	NUP153	9972	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	nucleoporin 153	ENSG00000124789	AAH52965	Hs.601591	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	NUP153	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376706	PSMC3IP	29893	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	PSMC3 interacting protein	ENSG00000131470	AAH08792	Hs.383019	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	PSMC3IP	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376707	XRCC6	2547	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	X-ray repair cross complementing 6	ENSG00000196419	AAA36155	Hs.292493	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	XRCC6	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376708	PNN	5411	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	pinin, desmosome associated protein	ENSG00000100941	AAB03391	Hs.409965	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	PNN	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376709	HUS1	3364	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HUS1 checkpoint clamp component	ENSG00000136273	AAC95526	Hs.152983	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	HUS1	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376710	RBBP7	5931	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	RB binding protein 7, chromatin remodeling factor	ENSG00000102054	AAC50231	Hs.495755	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	RBBP7	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376711	PDS5B	23047	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	PDS5 cohesin associated factor B	ENSG00000083642	AAD22134	Hs.744901	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	PDS5B	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376712	NOP56	10528	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	NOP56 ribonucleoprotein	ENSG00000101361	AAH04937	Hs.376064	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	NOP56	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376713	MXD3	83463	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MAX dimerization protein 3	ENSG00000213347	AAH00745	Hs.743332	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	MXD3	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376714	PPP1R8	5511	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	protein phosphatase 1 regulatory subunit 8	ENSG00000117751	AAA64749	Hs.533474	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	PPP1R8	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376715	GSPT1	2935	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	G1 to S phase transition 1	ENSG00000103342	AAB67250	Hs.528780	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	GSPT1	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376716	CDKN2A	1029	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	cyclin dependent kinase inhibitor 2A	ENSG00000147889	AAA82236	Hs.512599	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	CDKN2A	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376717	AK2	204	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	adenylate kinase 2	ENSG00000004455	AAB41790	Hs.470907	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	AK2	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376718	CIT	11113	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	citron rho-interacting serine/threonine kinase	ENSG00000122966	AAB71327	Hs.119594	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	CIT	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376719	ING3	54556	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	inhibitor of growth family member 3	ENSG00000071243	AAF28979	Hs.489811	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	ING3	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376720	HN1		HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS					HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	HN1	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376721	POP7	10248	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	POP7 homolog, ribonuclease P/MRP subunit	ENSG00000172336	AAC24113	Hs.416994	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	POP7	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376722	SYNCRIP	10492	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	synaptotagmin binding cytoplasmic RNA interacting protein	ENSG00000135316	AA411631	Hs.571177	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	SYNCRIP	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376723	EIF2S1	1965	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	eukaryotic translation initiation factor 2 subunit alpha	ENSG00000134001	AAA52373	Hs.151777	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	EIF2S1	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376724	LYAR	55646	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Ly1 antibody reactive	ENSG00000145220	AAF42870	Hs.425427	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	LYAR	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376725	PAN2	9924	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	PAN2 poly(A) specific ribonuclease subunit	ENSG00000135473	AAH24043	Hs.273397	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	PAN2	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
376726	SPC24	147841	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	SPC24, NDC80 kinetochore complex component	ENSG00000161888	AAI05038	Hs.381225	HALLMARK_E2F_TARGETS	MSigDB_Hallmark				human	SPC24	h.all.v6.1.symbols.gmt	MSigDB Hallmark																
1591625	CXCL6	6372	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	C-X-C motif chemokine ligand 6				senescent up v.s. non-senescent	custom				human	CXCL6	custom	Custom	9606	1419728_at	2.898634	1.117742e-05	1.117742e-05	 4.421326	  5.754983	68	1419728_at							
1591626	LCN2	3934	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	lipocalin 2				senescent up v.s. non-senescent	custom				human	LCN2	custom	Custom	9606	1427747_a_at	2.859644	9.543038e-05	9.543038e-05	 7.533214	  5.006018	68	1427747_a_at							
1591627	MS4A6A	64231	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	membrane spanning 4-domains A6A				senescent up v.s. non-senescent	custom				human	MS4A6A	custom	Custom	9606	1419599_s_at	2.814994	3.470333e-05	3.470333e-05	 7.414273	  5.360729	68	1419599_s_at							
1591628	CALD1	800	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	caldesmon 1				senescent up v.s. non-senescent	custom				human	CALD1	custom	Custom	9606	1424769_s_at	2.778007	3.718422e-05	3.718422e-05	 5.560912	  5.334784		1424769_s_at							
1591629	MMP13	4322	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	matrix metallopeptidase 13				senescent up v.s. non-senescent	custom				human	MMP13	custom	Custom	9606	1417256_at	2.746994	0.0004901297	0.0004901297	 6.461792	  4.412026	68	1417256_at							
1591630	FKBP9	11328	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	FK506 binding protein 9				senescent up v.s. non-senescent	custom				human	FKBP9	custom	Custom	9606	1437687_x_at	2.584913	0.0001227204	0.0001227204	 4.551857	  4.916996	68	1437687_x_at							
1591631	FN1	2335	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	fibronectin 1				senescent up v.s. non-senescent	custom				human	FN1	custom	Custom	9606	1426642_at	2.555608	2.247779e-05	2.247779e-05	 7.898434	  5.513169	68	1426642_at							
1591632	TM4SF1	4071	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	transmembrane 4 L six family member 1				senescent up v.s. non-senescent	custom				human	TM4SF1	custom	Custom	9606	1450958_at	2.520573	5.289661e-05	5.289661e-05	 5.718027	  5.210931	68	1450958_at							
1591633	AHNAK2	113146	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	AHNAK nucleoprotein 2				senescent up v.s. non-senescent	custom				human	AHNAK2	custom	Custom	9606	1436520_at	2.50079	8.096004e-10	8.096004e-10	 6.492636	  9.121558	68	1436520_at							
1591634	LOX	4015	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	lysyl oxidase				senescent up v.s. non-senescent	custom				human	LOX	custom	Custom	9606	1416121_at	2.463017	5.308203e-05	5.308203e-05	 6.869516	  5.209546	68	1416121_at							
1591635	CTGF	1490	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	connective tissue growth factor				senescent up v.s. non-senescent	custom				human	CTGF	custom	Custom	9606	1416953_at	2.453915	4.456888e-05	4.456888e-05	 4.274187	  5.270904	68	1416953_at							
1591636	EFEMP1	2202	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	EGF containing fibulin extracellular matrix protein 1				senescent up v.s. non-senescent	custom				human	EFEMP1	custom	Custom	9606	1427183_at	2.433929	0.0006730466	0.0006730466	 5.441197	  4.292796	68	1427183_at							
1591637	GRB10	2887	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	growth factor receptor bound protein 10				senescent up v.s. non-senescent	custom				human	GRB10	custom	Custom	9606	1425458_a_at	2.411149	2.656742e-07	2.656742e-07	 5.859394	  7.026613	68	1425458_a_at							
1591638	ACOD1	730249	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	aconitate decarboxylase 1				senescent up v.s. non-senescent	custom				human	ACOD1	custom	Custom	9606	1427381_at	2.394205	0.001130354	0.001130354	 8.707150	  4.094215		1427381_at							
1591639	CPE	1363	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	carboxypeptidase E				senescent up v.s. non-senescent	custom				human	CPE	custom	Custom	9606	1415949_at	2.393632	0.000251804	0.000251804	 5.797298	  4.660563	68	1415949_at							
1591640	PCLAF	9768	senescent down v.s. non-senescent Signature	TIS down	senescent down v.s. non-senescent	PCNA clamp associated factor				senescent down v.s. non-senescent	custom				human	PCLAF	custom	Custom	9606	1419152_at	-2.377645	1.800223e-10	1.800223e-10	 8.873084	 -9.759684		1419152_at							
1591641	MMP12	4321	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	matrix metallopeptidase 12				senescent up v.s. non-senescent	custom				human	MMP12	custom	Custom	9606	1449153_at	2.371496	0.001688357	0.001688357	 7.069500	  3.941083	68	1449153_at							
1591642	PTGS2	5743	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	prostaglandin-endoperoxide synthase 2				senescent up v.s. non-senescent	custom				human	PTGS2	custom	Custom	9606	1417262_at	2.361145	0.0004984336	0.0004984336	 5.755796	  4.406169	68	1417262_at							
1591643	CXCL2	2920	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	C-X-C motif chemokine ligand 2				senescent up v.s. non-senescent	custom				human	CXCL2	custom	Custom	9606	1419209_at	2.361029	4.515191e-05	4.515191e-05	 6.002692	  5.266159	68	1419209_at							
1591644	BGN	633	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	biglycan				senescent up v.s. non-senescent	custom				human	BGN	custom	Custom	9606	1448323_a_at	2.348309	0.0001124562	0.0001124562	 6.534992	  4.946923	68	1448323_a_at							
1591645	IL6	3569	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	interleukin 6				senescent up v.s. non-senescent	custom				human	IL6	custom	Custom	9606	1450297_at	2.338817	0.0003208822	0.0003208822	 5.864048	  4.571080	68	1450297_at							
1591646	CTTN	2017	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	cortactin				senescent up v.s. non-senescent	custom				human	CTTN	custom	Custom	9606	1433908_a_at	2.326155	7.077802e-05	7.077802e-05	 5.160349	  5.108613	68	1433908_a_at							
1591647	CXCL3	2921	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	C-X-C motif chemokine ligand 3				senescent up v.s. non-senescent	custom				human	CXCL3	custom	Custom	9606	1449984_at	2.29817	0.000236658	0.000236658	 6.366966	  4.684340	68	1449984_at							
1591648	F2R	2149	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	coagulation factor II thrombin receptor				senescent up v.s. non-senescent	custom				human	F2R	custom	Custom	9606	1437308_s_at	2.265901	7.686468e-05	7.686468e-05	 4.885499	  5.080485	68	1437308_s_at							
1591649	PRSS23	11098	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	serine protease 23				senescent up v.s. non-senescent	custom				human	PRSS23	custom	Custom	9606	1437671_x_at	2.258889	9.207577e-05	9.207577e-05	 4.169444	  5.018533	68	1437671_x_at							
1591650	KITLG	4254	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	KIT ligand				senescent up v.s. non-senescent	custom				human	KITLG	custom	Custom	9606	1415855_at	2.246339	0.0001041783	0.0001041783	 5.040196	  4.974138	68	1415855_at							
1591651	NID1	4811	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	nidogen 1				senescent up v.s. non-senescent	custom				human	NID1	custom	Custom	9606	1416808_at	2.237298	4.565297e-05	4.565297e-05	 5.877419	  5.261403	68	1416808_at							
1591652	HMGA2	8091	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	high mobility group AT-hook 2				senescent up v.s. non-senescent	custom				human	HMGA2	custom	Custom	9606	1450780_s_at	2.228894	4.197578e-06	4.197578e-06	 6.204641	  6.090318		1450780_s_at							
1591653	MS4A7	58475	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	membrane spanning 4-domains A7				senescent up v.s. non-senescent	custom				human	MS4A7	custom	Custom	9606	1424754_at	2.21944	5.367595e-05	5.367595e-05	 6.724505	  5.205392	68	1424754_at							
1591654	CLEC4D	338339	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	C-type lectin domain family 4 member D				senescent up v.s. non-senescent	custom				human	CLEC4D	custom	Custom	9606	1420804_s_at	2.181453	0.007437957	0.007437957	 7.363467	  3.346473	68	1420804_s_at							
1591655	SPP1	6696	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	secreted phosphoprotein 1				senescent up v.s. non-senescent	custom				human	SPP1	custom	Custom	9606	1449254_at	2.179141	0.0002217647	0.0002217647	10.240499	  4.708343	68	1449254_at							
1591656	CENPE	1062	senescent down v.s. non-senescent Signature	TIS down	senescent down v.s. non-senescent	centromere protein E				senescent down v.s. non-senescent	custom				human	CENPE	custom	Custom	9606	1439040_at	-2.172217	8.394264e-08	8.394264e-08	 6.662158	 -7.419053	68	1439040_at							
1591657	MMP8	4317	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	matrix metallopeptidase 8				senescent up v.s. non-senescent	custom				human	MMP8	custom	Custom	9606	1449366_at	2.170397	0.0008637316	0.0008637316	 6.263008	  4.198372	68	1449366_at							
1591658	EREG	2069	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	epiregulin				senescent up v.s. non-senescent	custom				human	EREG	custom	Custom	9606	1419431_at	2.165201	0.000112854	0.000112854	 3.804914	  4.945721	68	1419431_at							
1591659	FAM198B	51313	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	family with sequence similarity 198 member B				senescent up v.s. non-senescent	custom				human	FAM198B	custom	Custom	9606	1416805_at	2.131812	8.081863e-06	8.081863e-06	 4.402564	  5.868161	68	1416805_at							
1591660	LYZ	4069	senescent up v.s. non-senescent Signature	TIS up	senescent up v.s. non-senescent	lysozyme				senescent up v.s. non-senescent	custom				human	LYZ	custom	Custom	9606	1423547_at	2.120467	0.004604871	0.004604871	10.990151	  3.544351	68	1423547_at							
